split,group_type,group_key,calendar_year,season,season_year,n_samples_used,n_pixels_used,A,B,alpha,theta_rad,theta_deg
train,year_season,2017_JJA,,JJA,2017,224,234881024,0.018126071648053348,0.011890381685777659,0.021677999216344668,0.5805691960219189,33.26416464735934
train,year_season,2017_SON,,SON,2017,193,202375168,0.02227360173887358,0.008184898990574676,0.023729852631397912,0.35215347347717807,20.17690777111448
train,year_season,2018_DJF,,DJF,2018,129,135266304,0.023663934945091395,0.008150070478538586,0.025028093532881483,0.33168525229463736,19.004165083214623
train,year_season,2018_MAM,,MAM,2018,320,335544320,0.021286552173514037,0.00783422621644927,0.022682424999241953,0.35265167132302017,20.20545240504374
train,year_season,2018_JJA,,JJA,2018,37,38797312,0.02134555753464063,0.00851468979661509,0.022981139414686002,0.379555595405344,21.74693370730127
train,year_season,2018_SON,,SON,2018,148,155189248,0.01964710266332706,0.009471371823834219,0.021810903862257383,0.4492048384811067,25.73754138182325
train,year_season,2019_DJF,,DJF,2019,364,381681664,0.023165899870792775,0.008669756748071297,0.024735068200721105,0.3581098964438613,20.518185668100223
train,year_season,2019_MAM,,MAM,2019,592,620756992,0.019531254364690318,0.007077941988131207,0.020774194565508077,0.34767024539170427,19.920037723222315
train,year_season,2019_JJA,,JJA,2019,53,55574528,0.019499709192935213,0.010456471415687958,0.02212637460308718,0.4922154735312591,28.20186924437443
train,year_season,2019_SON,,SON,2019,441,462422016,0.020617900021651658,0.009415682906506063,0.022666117574447857,0.4283911108626857,24.545002633352848
train,year_season,2020_DJF,,DJF,2020,230,241172480,0.019637373570235445,0.007383997308322612,0.020979748735061084,0.3596624796936549,20.607142135656098
val,overall,all,,,,1074,1126170624,0.02022646788703051,0.008200326178996116,0.02182556649040307,0.3851747780988572,22.068889159952533
val,year,2020,2020,,,1074,1126170624,0.02022646788703051,0.008200326178996116,0.02182556649040307,0.3851747780988572,22.068889159952533
val,season,DJF,,DJF,,434,455081984,0.022388100753863344,0.007543598171214032,0.023624837115499443,0.3249991118403163,18.621077453950345
val,season,MAM,,MAM,,561,588251136,0.01859721766565461,0.008557354211177502,0.020471561151980892,0.4312556365940049,24.709127868064062
val,season,JJA,,JJA,,24,25165824,0.018326951072838167,0.010737931106701662,0.02124100515697116,0.5299942597637849,30.366434250625097
val,season,SON,,SON,,55,57671680,0.020277339019736867,0.009345629611170884,0.02232736595638942,0.43187333615442686,24.744519445883327
val,year_season,2020_DJF,,DJF,2020,373,391118848,0.02240089617758956,0.007438419126003621,0.02360360626373104,0.32060321394729924,18.369211057510018
val,year_season,2020_MAM,,MAM,2020,561,588251136,0.01859721766565461,0.008557354211177502,0.020471561151980892,0.4312556365940049,24.709127868064062
val,year_season,2020_JJA,,JJA,2020,24,25165824,0.018326951072838167,0.010737931106701662,0.02124100515697116,0.5299942597637849,30.366434250625097
val,year_season,2020_SON,,SON,2020,55,57671680,0.020277339019736867,0.009345629611170884,0.02232736595638942,0.43187333615442686,24.744519445883327
val,year_season,2021_DJF,,DJF,2021,61,63963136,0.02230481061222619,0.008228247445851275,0.02377411686009464,0.35341214054070796,20.249024081666867
test,overall,all,,,,724,759169024,0.024382905358577397,0.010754003389005616,0.026649102472993094,0.41538358132588166,23.799726089002217
test,year,2021,2021,,,724,759169024,0.024382905358577397,0.010754003389005616,0.026649102472993094,0.41538358132588166,23.799726089002217
test,season,DJF,,DJF,,144,150994944,0.022115935477747657,0.010276997222235854,0.024387112866465787,0.43500064211629924,24.923700878744715
test,season,MAM,,MAM,,343,359661568,0.02561182328975,0.012708963848168633,0.02859166407048456,0.46061480621614925,26.391284377421627
test,season,JJA,,JJA,,5,5242880,0.01692189528582329,0.011910866098354095,0.020693459625623006,0.6133206019382639,35.1406819794857
test,season,SON,,SON,,232,243269632,0.024136399213802635,0.008735215181988927,0.02566845829580932,0.34724581523227793,19.89571966638912
test,year_season,2021_DJF,,DJF,2021,33,34603008,0.02527809049805662,0.012713952324557125,0.028295343131671893,0.466015454036173,26.70071870414552
test,year_season,2021_MAM,,MAM,2021,343,359661568,0.02561182328975,0.012708963848168633,0.02859166407048456,0.46061480621614925,26.391284377421627
test,year_season,2021_JJA,,JJA,2021,5,5242880,0.01692189528582329,0.011910866098354095,0.020693459625623006,0.6133206019382639,35.1406819794857
