tiff_path,region,date,buoy_ids,n_buoys
region-27_2-82_348-35_0-83_2/2014/12/19/20141219T1350.tiff,region-27_2-82_348-35_0-83_2,2014-12-19,300234061369400.0,1
region-27_2-82_348-35_0-83_2/2014/12/19/20141219T0719.tiff,region-27_2-82_348-35_0-83_2,2014-12-19,300234061369400.0,1
region-27_2-82_348-35_0-83_2/2014/12/20/20141220T0759.tiff,region-27_2-82_348-35_0-83_2,2014-12-20,300234061369400.0,1
region-27_2-82_348-35_0-83_2/2014/12/20/20141220T1431.tiff,region-27_2-82_348-35_0-83_2,2014-12-20,300234061369400.0,1
region-27_2-82_348-35_0-83_2/2014/12/21/20141221T1334.tiff,region-27_2-82_348-35_0-83_2,2014-12-21,300234061369400.0,1
region-27_2-82_348-35_0-83_2/2014/12/21/20141221T0702.tiff,region-27_2-82_348-35_0-83_2,2014-12-21,300234061369400.0,1
region-27_2-82_348-35_0-83_2/2015/03/18/20150318T1359.tiff,region-27_2-82_348-35_0-83_2,2015-03-18,90075.0,1
region-27_2-82_348-35_0-83_2/2015/03/18/20150318T0727.tiff,region-27_2-82_348-35_0-83_2,2015-03-18,90075.0,1
region-27_2-82_348-35_0-83_2/2015/03/19/20150319T1301.tiff,region-27_2-82_348-35_0-83_2,2015-03-19,90075.0,1
region-27_2-82_348-35_0-83_2/2015/03/19/20150319T0807.tiff,region-27_2-82_348-35_0-83_2,2015-03-19,90075.0,1
region-27_2-82_348-35_0-83_2/2015/03/20/20150320T0711.tiff,region-27_2-82_348-35_0-83_2,2015-03-20,90075.0,1
region-27_2-82_348-35_0-83_2/2015/03/20/20150320T1342.tiff,region-27_2-82_348-35_0-83_2,2015-03-20,90075.0,1
region-27_2-82_348-35_0-83_2/2015/03/21/20150321T0751.tiff,region-27_2-82_348-35_0-83_2,2015-03-21,90075.0,1
region-27_2-82_348-35_0-83_2/2015/03/21/20150321T1423.tiff,region-27_2-82_348-35_0-83_2,2015-03-21,90075.0,1
region-27_2-82_348-35_0-83_2/2015/05/03/20150503T0743.tiff,region-27_2-82_348-35_0-83_2,2015-05-03,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/03/20150503T1415.tiff,region-27_2-82_348-35_0-83_2,2015-05-03,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/04/20150504T1318.tiff,region-27_2-82_348-35_0-83_2,2015-05-04,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/04/20150504T0824.tiff,region-27_2-82_348-35_0-83_2,2015-05-04,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/05/20150505T1359.tiff,region-27_2-82_348-35_0-83_2,2015-05-05,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/05/20150505T0727.tiff,region-27_2-82_348-35_0-83_2,2015-05-05,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/06/20150506T1301.tiff,region-27_2-82_348-35_0-83_2,2015-05-06,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/06/20150506T0807.tiff,region-27_2-82_348-35_0-83_2,2015-05-06,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/07/20150507T1342.tiff,region-27_2-82_348-35_0-83_2,2015-05-07,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/07/20150507T0711.tiff,region-27_2-82_348-35_0-83_2,2015-05-07,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/20/20150520T0752.tiff,region-27_2-82_348-35_0-83_2,2015-05-20,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/20/20150520T1423.tiff,region-27_2-82_348-35_0-83_2,2015-05-20,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2015/05/21/20150521T1326.tiff,region-27_2-82_348-35_0-83_2,2015-05-21,300234060176700.0,1
region-27_2-82_348-35_0-83_2/2016/09/12/20160912T1327.tiff,region-27_2-82_348-35_0-83_2,2016-09-12,300234062788480.0,1
region-27_2-82_348-35_0-83_2/2016/11/01/20161101T0816.tiff,region-27_2-82_348-35_0-83_2,2016-11-01,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2016/11/01/20161101T1310.tiff,region-27_2-82_348-35_0-83_2,2016-11-01,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2016/11/03/20161103T0800.tiff,region-27_2-82_348-35_0-83_2,2016-11-03,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2016/11/03/20161103T1254.tiff,region-27_2-82_348-35_0-83_2,2016-11-03,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2016/11/05/20161105T0605.tiff,region-27_2-82_348-35_0-83_2,2016-11-05,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2016/11/05/20161105T1415.tiff,region-27_2-82_348-35_0-83_2,2016-11-05,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2016/11/06/20161106T0646.tiff,region-27_2-82_348-35_0-83_2,2016-11-06,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2016/11/06/20161106T1318.tiff,region-27_2-82_348-35_0-83_2,2016-11-06,300234062428050.0,1
region-27_2-82_348-35_0-83_2/2017/10/01/20171001T0743.tiff,region-27_2-82_348-35_0-83_2,2017-10-01,300234061398600.0,1
region-27_2-82_348-35_0-83_2/2017/10/02/20171002T0824.tiff,region-27_2-82_348-35_0-83_2,2017-10-02,300234061398600.0,1
region-27_2-82_348-35_0-83_2/2017/10/03/20171003T0727.tiff,region-27_2-82_348-35_0-83_2,2017-10-03,300234061398600.0,1
region-27_2-82_348-35_0-83_2/2017/10/04/20171004T0807.tiff,region-27_2-82_348-35_0-83_2,2017-10-04,300234061398600.0,1
region-27_2-82_348-35_0-83_2/2019/05/01/20190501T0646.tiff,region-27_2-82_348-35_0-83_2,2019-05-01,52980.0,1
region-27_2-82_348-35_0-83_2/2019/05/02/20190502T0727.tiff,region-27_2-82_348-35_0-83_2,2019-05-02,52980.0,1
region-27_2-82_348-35_0-83_2/2019/05/03/20190503T0808.tiff,region-27_2-82_348-35_0-83_2,2019-05-03,52980.0,1
region-27_2-82_348-35_0-83_2/2019/11/18/20191118T0800.tiff,region-27_2-82_348-35_0-83_2,2019-11-18,300234065800040.0,1
region-27_2-82_348-35_0-83_2/2019/11/20/20191120T0743.tiff,region-27_2-82_348-35_0-83_2,2019-11-20,300234065800040.0,1
region-27_2-82_348-35_0-83_2/2019/11/21/20191121T0646.tiff,region-27_2-82_348-35_0-83_2,2019-11-21,300234065800040.0,1
region-27_2-82_348-35_0-83_2/2020/06/26/20200626T0808.tiff,region-27_2-82_348-35_0-83_2,2020-06-26,52960.0,1
region-27_2-82_348-35_0-83_2/2020/06/27/20200627T0710.tiff,region-27_2-82_348-35_0-83_2,2020-06-27,529600000000000.0,1
region-27_2-82_348-35_0-83_2/2021/02/03/20210203T0719.tiff,region-27_2-82_348-35_0-83_2,2021-02-03,300534060319790.0,1
region-27_2-82_348-35_0-83_2/2021/02/04/20210204T0800.tiff,region-27_2-82_348-35_0-83_2,2021-02-04,300534060319790.0,1
region-27_2-82_348-35_0-83_2/2021/02/05/20210205T0702.tiff,region-27_2-82_348-35_0-83_2,2021-02-05,300534060319790.0,1
region-27_765-81_753-35_0-82_6/2014/10/13/20141013T1359.tiff,region-27_765-81_753-35_0-82_6,2014-10-13,300234011246740.0,1
region-27_765-81_753-35_0-82_6/2016/09/12/20160912T1326.tiff,region-27_765-81_753-35_0-82_6,2016-09-12,300234062788480.0,1
region-27_765-81_753-35_0-82_6/2019/05/09/20190509T0541.tiff,region-27_765-81_753-35_0-82_6,2019-05-09,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/10/20190510T0622.tiff,region-27_765-81_753-35_0-82_6,2019-05-10,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/11/20190511T0702.tiff,region-27_765-81_753-35_0-82_6,2019-05-11,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/12/20190512T0605.tiff,region-27_765-81_753-35_0-82_6,2019-05-12,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/13/20190513T0646.tiff,region-27_765-81_753-35_0-82_6,2019-05-13,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/14/20190514T0549.tiff,region-27_765-81_753-35_0-82_6,2019-05-14,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/15/20190515T0630.tiff,region-27_765-81_753-35_0-82_6,2019-05-15,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/16/20190516T0710.tiff,region-27_765-81_753-35_0-82_6,2019-05-16,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/18/20190518T0654.tiff,region-27_765-81_753-35_0-82_6,2019-05-18,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/20/20190520T0638.tiff,region-27_765-81_753-35_0-82_6,2019-05-20,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/21/20190521T0541.tiff,region-27_765-81_753-35_0-82_6,2019-05-21,52959.0,1
region-27_765-81_753-35_0-82_6/2019/05/22/20190522T0622.tiff,region-27_765-81_753-35_0-82_6,2019-05-22,52959.0,1
region-27_765-81_753-35_0-82_6/2019/11/05/20191105T0541.tiff,region-27_765-81_753-35_0-82_6,2019-11-05,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/11/10/20191110T0549.tiff,region-27_765-81_753-35_0-82_6,2019-11-10,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/11/11/20191111T0630.tiff,region-27_765-81_753-35_0-82_6,2019-11-11,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/11/12/20191112T0710.tiff,region-27_765-81_753-35_0-82_6,2019-11-12,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/11/14/20191114T0654.tiff,region-27_765-81_753-35_0-82_6,2019-11-14,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/11/15/20191115T0557.tiff,region-27_765-81_753-35_0-82_6,2019-11-15,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/11/18/20191118T0622.tiff,region-27_765-81_753-35_0-82_6,2019-11-18,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/12/08/20191208T0654.tiff,region-27_765-81_753-35_0-82_6,2019-12-08,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/12/09/20191209T0557.tiff,region-27_765-81_753-35_0-82_6,2019-12-09,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/12/10/20191210T0638.tiff,region-27_765-81_753-35_0-82_6,2019-12-10,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/12/12/20191212T0622.tiff,region-27_765-81_753-35_0-82_6,2019-12-12,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2019/12/13/20191213T0702.tiff,region-27_765-81_753-35_0-82_6,2019-12-13,300234065800040.0,1
region-27_765-81_753-35_0-82_6/2021/06/04/20210604T0622.tiff,region-27_765-81_753-35_0-82_6,2021-06-04,300234068816640.0,1
region-27_765-81_753-35_0-82_6/2021/06/05/20210605T0702.tiff,region-27_765-81_753-35_0-82_6,2021-06-05,300234068816640.0,1
region-27_765-81_753-35_0-82_6/2021/06/06/20210606T0605.tiff,region-27_765-81_753-35_0-82_6,2021-06-06,300234068816640.0,1
region-33_0-82_95-40_715-83_903/2014/10/08/20141008T1351.tiff,region-33_0-82_95-40_715-83_903,2014-10-08,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/10/10/20141010T1334.tiff,region-33_0-82_95-40_715-83_903,2014-10-10,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/10/20/20141020T1351.tiff,region-33_0-82_95-40_715-83_903,2014-10-20,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/11/05/20141105T0645.tiff,region-33_0-82_95-40_715-83_903,2014-11-05,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/11/06/20141106T0905.tiff,region-33_0-82_95-40_715-83_903,2014-11-06,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/11/09/20141109T0751.tiff,region-33_0-82_95-40_715-83_903,2014-11-09,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/11/10/20141110T0653.tiff,region-33_0-82_95-40_715-83_903,2014-11-10,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/11/11/20141111T0913.tiff,region-33_0-82_95-40_715-83_903,2014-11-11,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/06/20141206T1310.tiff,region-33_0-82_95-40_715-83_903,2014-12-06,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/06/20141206T0637.tiff,region-33_0-82_95-40_715-83_903,2014-12-06,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/06/20141206T1132.tiff,region-33_0-82_95-40_715-83_903,2014-12-06,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/07/20141207T1350.tiff,region-33_0-82_95-40_715-83_903,2014-12-07,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/07/20141207T0719.tiff,region-33_0-82_95-40_715-83_903,2014-12-07,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/08/20141208T1253.tiff,region-33_0-82_95-40_715-83_903,2014-12-08,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/08/20141208T0621.tiff,region-33_0-82_95-40_715-83_903,2014-12-08,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/09/20141209T0702.tiff,region-33_0-82_95-40_715-83_903,2014-12-09,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/09/20141209T1334.tiff,region-33_0-82_95-40_715-83_903,2014-12-09,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/10/20141210T0743.tiff,region-33_0-82_95-40_715-83_903,2014-12-10,300234061369400.0,1
region-33_0-82_95-40_715-83_903/2014/12/22/20141222T0743.tiff,region-33_0-82_95-40_715-83_903,2014-12-22,"300234011247800.0,90074.0",2
region-33_0-82_95-40_715-83_903/2015/01/01/20150101T1253.tiff,region-33_0-82_95-40_715-83_903,2015-01-01,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/01/20150101T0621.tiff,region-33_0-82_95-40_715-83_903,2015-01-01,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/02/20150102T1334.tiff,region-33_0-82_95-40_715-83_903,2015-01-02,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/02/20150102T0702.tiff,region-33_0-82_95-40_715-83_903,2015-01-02,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/03/20150103T0743.tiff,region-33_0-82_95-40_715-83_903,2015-01-03,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/04/20150104T0646.tiff,region-33_0-82_95-40_715-83_903,2015-01-04,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/04/20150104T1318.tiff,region-33_0-82_95-40_715-83_903,2015-01-04,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/05/20150105T0727.tiff,region-33_0-82_95-40_715-83_903,2015-01-05,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/06/20150106T0629.tiff,region-33_0-82_95-40_715-83_903,2015-01-06,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/06/20150106T1301.tiff,region-33_0-82_95-40_715-83_903,2015-01-06,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/07/20150107T0711.tiff,region-33_0-82_95-40_715-83_903,2015-01-07,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/07/20150107T1342.tiff,region-33_0-82_95-40_715-83_903,2015-01-07,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/08/20150108T1245.tiff,region-33_0-82_95-40_715-83_903,2015-01-08,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/08/20150108T0750.tiff,region-33_0-82_95-40_715-83_903,2015-01-08,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/09/20150109T0831.tiff,region-33_0-82_95-40_715-83_903,2015-01-09,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/09/20150109T1326.tiff,region-33_0-82_95-40_715-83_903,2015-01-09,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/10/20150110T1407.tiff,region-33_0-82_95-40_715-83_903,2015-01-10,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/10/20150110T0735.tiff,region-33_0-82_95-40_715-83_903,2015-01-10,90075.0,1
region-33_0-82_95-40_715-83_903/2015/01/11/20150111T1309.tiff,region-33_0-82_95-40_715-83_903,2015-01-11,90075.0,1
